#,Článek,Obrázek,Počet obyvatel,Rozloha (km2),Okres
267,Jílové,,5 110,"36,56",okres Děčín
268,Luhačovice,,5 077,"32,99",okres Zlín
269,Skuteč,,5 059,"35,4",okres Chrudim
270,Česká Skalice,,5 017,"17,36",okres Náchod
271,Horšovský Týn,,4 987,"71,31",okres Domažlice
272,Bechyně,,4 965,"21,29",okres Tábor
273,Ledeč nad Sázavou,,4 951,"17,01",okres Havlíčkův Brod
274,Vrbno pod Pradědem,,4 944,"68,91",okres Bruntál
275,Nýrsko,,4 926,"31,54",okres Klatovy
276,Valašské Klobouky,,4 918,"26,95",okres Zlín
277,Jílové u Prahy,,4 909,"16,25",okres Praha-západ
278,Meziboří,,4 884,"14,36",okres Most
279,Chropyně,,4 850,19,okres Kroměříž
280,Vizovice,,4 847,"28,57",okres Zlín
281,Habartov,,4 845,"21,39",okres Sokolov
282,Zruč nad Sázavou,,4 834,"16,41",okres Kutná Hora
283,Náměšť nad Oslavou,,4 817,"18,63",okres Třebíč
284,Unhošť,,4 815,"17,42",okres Kladno
285,Pečky,,4 811,"10,76",okres Kolín
286,Heřmanův Městec,,4 807,"14,34",okres Chrudim
287,Protivín,,4 760,"61,46",okres Písek
288,Bělá pod Bezdězem,,4 754,"63,2",okres Mladá Boleslav
289,Kynšperk nad Ohří,,4 739,"23,31",okres Sokolov
290,Oslavany,,4 733,"18,71",okres Brno-venkov
291,Postoloprty,,4 705,"46,56",okres Louny
292,Osek,,4 670,"42,37",okres Teplice
293,Pacov,,4 667,"35,86",okres Pelhřimov
294,Vamberk,,4 579,"21,02",okres Rychnov nad Kněžnou
295,Vracov,,4 569,"44,4",okres Hodonín
296,Votice,,4 547,"36,42",okres Benešov
297,Adamov,,4 515,"3,78",okres Blansko
298,Lišov,,4 503,"93,55",okres České Budějovice
299,Cvikov,,4 503,"45,05",okres Česká Lípa
300,Klimkovice,,4 498,"14,64",okres Ostrava-město
301,Bor,,4 488,"116,51",okres Tachov
302,Bystřice,,4 444,"63,36",okres Benešov
303,Bzenec,,4 442,"40,34",okres Hodonín
304,Bojkovice,,4 369,"41,88",okres Uherské Hradiště
305,Hostinné,,4 352,"8,07",okres Trutnov
306,Hluk,,4 338,"28,39",okres Uherské Hradiště
307,Chlumec,,4 320,"12,87",okres Ústí nad Labem
308,Rožmitál pod Třemšínem,,4 309,"52,97",okres Příbram
309,Planá nad Lužnicí,,4 305,"21,42",okres Tábor
310,Kostelec nad Labem,,4 224,"15,55",okres Mělník
311,Uherský Ostroh,,4 209,"26,53",okres Uherské Hradiště
312,Slatiňany,,4 178,"15,61",okres Chrudim
313,Zdice,,4 177,"13,81",okres Beroun
314,Borovany,,4 166,"42,33",okres České Budějovice
315,Králíky,,4 158,"52,78",okres Ústí nad Orlicí
316,Nová Role,,4 154,"13,53",okres Karlovy Vary
317,Jaroměřice nad Rokytnou,,4 140,"51,37",okres Třebíč
318,Horní Bříza,,4 136,"14,55",okres Plzeň-sever
319,Brušperk,,4 131,"10,27",okres Frýdek-Místek
320,Blovice,,4 127,"28,96",okres Plzeň-jih
321,Dolní Benešov,,4 052,"14,81",okres Opava
322,Sezemice,,4 039,"22,15",okres Pardubice
323,Police nad Metují,,4 016,"24,41",okres Náchod
324,Jemnice,,3 991,"32,49",okres Třebíč
325,Přibyslav,,3 989,"35,32",okres Havlíčkův Brod
326,Rajhrad,,3 974,"9,49",okres Brno-venkov
327,Mnichovice,,3 950,"8,32",okres Praha-východ
328,Kamenický Šenov,,3 918,"10,47",okres Česká Lípa
329,Paskov,,3 909,"11,8",okres Frýdek-Místek
330,Velké Bílovice,,3 906,"25,73",okres Břeclav
331,Stráž pod Ralskem,,3 899,"21,58",okres Česká Lípa
332,Velešín,,3 878,"13,24",okres Český Krumlov
333,Větřní,,3 824,"27,71",okres Český Krumlov
334,Židlochovice,,3 823,"5,93",okres Brno-venkov
335,Kostelec nad Černými lesy,,3 804,"17,7",okres Praha-východ
336,Brtnice,,3 757,"74,12",okres Jihlava
337,Smržovka,,3 751,"14,81",okres Jablonec nad Nisou
338,Sázava,,3 748,"20,42",okres Benešov
339,Rájec-Jestřebí,,3 745,"15,67",okres Blansko
340,Kamenice nad Lipou,,3 742,"31,54",okres Pelhřimov
341,Zbýšov,,3 740,"6,01",okres Brno-venkov
342,Dobřichovice,,3 739,"10,92",okres Praha-západ
343,Volary,,3 738,"107,52",okres Prachatice
344,Nepomuk,,3 730,"12,78",okres Plzeň-jih
345,Fryšták,,3 718,"24,17",okres Zlín
346,Zlaté Hory,,3 711,"85,92",okres Jeseník
347,Lanžhot,,3 710,"54,81",okres Břeclav
348,Nové Město pod Smrkem,,3 704,"28,93",okres Liberec
349,Lom,,3 695,"16,8",okres Most
350,Lázně Bělohrad,,3 677,"28,39",okres Jičín
351,Klecany,,3 671,"10,16",okres Praha-východ
352,Benešov nad Ploučnicí,,3 659,"9,77",okres Děčín
353,Jablonné v Podještědí,,3 653,"57,88",okres Liberec
354,Toužim,,3 652,"98,55",okres Karlovy Vary
355,Buštěhrad,,3 638,"7,61",okres Kladno
356,Velké Opatovice,,3 623,"25,93",okres Blansko
357,Řevnice,,3 616,"10,14",okres Praha-západ
358,Jiříkov,,3 591,"13,33",okres Děčín
359,Valtice,,3 582,"47,85",okres Břeclav
360,Stod,,3 578,"20,04",okres Plzeň-jih
361,Suchdol nad Lužnicí,,3 548,"63,58",okres Jindřichův Hradec
362,Lázně Bohdaneč,,3 541,"21,79",okres Pardubice
363,Zliv,,3 537,"14,21",okres České Budějovice
364,Štěpánov,,3 535,"26,84",okres Olomouc
365,Březnice,,3 535,"19,47",okres Příbram
366,České Velenice,,3 522,"12,09",okres Jindřichův Hradec
367,Velká Bystřice,,3 513,"9,22",okres Olomouc
368,Libochovice,,3 507,"15,64",okres Litoměřice
369,Město Albrechtice,,3 481,"65,28",okres Bruntál
370,Libčice nad Vltavou,,3 476,"7,1",okres Praha-západ
371,Štramberk,,3 464,"9,33",okres Nový Jičín
372,Kralovice,,3 460,"39,8",okres Plzeň-sever
373,Dobrovice,,3 455,"24,63",okres Mladá Boleslav
374,Veverská Bítýška,,3 441,"13,6",okres Brno-venkov
