Stát,Formální název,Kontinent,Hlavní město,Členství ve strukturách OSN,Zpochybnění svrchovanosti,Další informace
Spojené státy americké[pozn. 16],Spojené státy americké,Severní Amerika,"Washington, D.C.",Členský stát OSN,není,"Spojené státy jsou federací 50 států a federálního distriktu. Spojené státy mají svrchovanost nad následujícími obydlenými državami a společenstvími:  Americká Samoa  Americké Panenské ostrovy  Guam  Portoriko  Severní Mariany Také mají suverenitu na základě Guano Islands Act nad několika neobydlenými ostrovy; Bakerův ostrov, Howlandův ostrov, Jarvisův ostrov, Johnstonův atol, Kingmanův útes, atol Midway, Navassa a ostrov Wake. USA si nárokuje také ostrovy Bajo Nuevo a Serranilla, které spravuje Kolumbie. Atol Palmyra je začleněným územím USA. Tři suverénní státy se staly přidruženými státy USA na základě Dohody o volném přidružení:   Marshallovy ostrovy  Mikronésie  Palau"
Srbsko,Srbská republika,Evropa,Bělehrad,Členský stát OSN,není,"Součástí Srbska jsou dvě autonomní oblasti Vojvodina a Kosovo a Metochie, která je však pod faktickou kontrolou Kosovské republiky."
Srí Lanka,Srílanská demokratická socialistická republika,Asie,KotteKolombo,Členský stát OSN,není,
Středoafrická republika,Středoafrická republika,Afrika,Bangui,Členský stát OSN,není,
Súdán,Súdánská republika,Afrika,Chartúm,Členský stát OSN,není,Súdán je federací 17 států. Vede spor s Jižním Súdánem o oblasti Abyei a Kafia Kingi.
Surinam,Surinamská republika,Jižní Amerika,Paramaribo,Členský stát OSN,není,
Svatá Lucie,Svatá Lucie,Severní Amerika,Castries,Členský stát OSN,není,Svatá Lucie je součástí Commonwealth realm.[pozn. 1]
Svatý Kryštof a Nevis,Federace Svatý Kryštof a Nevis,Severní Amerika,Basseterre,Členský stát OSN,není,Svatý Kryštof a Nevis je součástí Commonwealth realm.[pozn. 1]
Svatý Tomáš a Princův ostrov,Demokratická republika Svatý Tomáš a Princův ostrov,Afrika,São Tomé,Členský stát OSN,není,Svatý Tomáš a Princův ostrov obsahuje autonomní provincii Princův ostrov.
Svatý Vincenc a Grenadiny,Svatý Vincenc a Grenadiny,Severní Amerika,Kingstown,Členský stát OSN,není,Svatý Vincenc a Grenadiny je součástí Commonwealth realm[pozn. 1]
Svazijsko,Svazijské království,Afrika,Mbabane (sídlo vlády)Lobamba (sídlo parlamentu a krále),Členský stát OSN,není,
Sýrie,Syrská arabská republika,Asie,Damašek,Členský stát OSN,není,Národní koalice sil revoluce a syrské opozice je uznávána jako legitimní reprezentace syrského lidu 20 členskými státy OSN a je oprávněna vládnout na povstalci ovládaných územích během probíhající občanské války v Sýrii. V rámci Sýrie vznikla samozvaná autonomní oblast:  Syrský Kurdistán
Šalomounovy ostrovy,Šalomounovy ostrovy,Oceánie,Honiara,Členský stát OSN,není,Šalomounovy ostrovy jsou součástí Commonwealth realm.[pozn. 1]
Španělsko,Španělské království,Evropa,Madrid,Členský stát OSN,není,"Členský stát EU.[pozn. 3] Španělsko je rozděleno na 17 autonomních společenství a dvě speciální autonomní města: Ceutu, Melillu a další Španělské severoafrické državy."
Švédsko,Švédské království,Evropa,Stockholm,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Švýcarsko,Švýcarská konfederace,Evropa,Bern (de facto),Členský stát OSN,není,Švýcarsko je federací 26 autonomních kantonů.
Tádžikistán,Republika Tádžikistán,Asie,Dušanbe,Členský stát OSN,není,Tádžikistán obsahuje jeden autonomní region: Horský Badachšán.
Tanzanie,Tanzanská sjednocená republika,Afrika,Dodoma (de jure)Dar es Salaam (dříve),Členský stát OSN,není,Tanzanie obsahuje jeden autonomní region: Zanzibar.
Thajsko,Thajské království,Asie,Bangkok,Členský stát OSN,není,
Togo,Tožská republika,Afrika,Lomé,Členský stát OSN,není,
Tonga,Království Tonga,Oceánie,Nuku'alofa,Členský stát OSN,není,
Trinidad a Tobago,Republika Trinidad a Tobago,Severní Amerika,Port of Spain,Členský stát OSN,není,Trinidad a Tobago obsahuje jeden autonomní region: Tobago
Tunisko,Tuniská republika,Afrika,Tunis,Členský stát OSN,není,
Turecko,Turecká republika,"Evropa, Asie",Ankara,Členský stát OSN,není,
Turkmenistán,Turkmenistán,Asie,Ašchabad,Členský stát OSN,není,
Tuvalu,Tuvalu,Oceánie,Funafuti[5] (Vaiaku),Členský stát OSN,není,Tuvalu je součástí Commonwealth realm.[pozn. 1]
Uganda,Ugandská republika,Afrika,Kampala,Členský stát OSN,není,
Ukrajina,Ukrajina,Evropa,Kyjev,Členský stát OSN,není,"Poloostrov Krym byl v roce 2014 anektován Ruskem. Ukrajina se nevzdala nároku na toto území. Separatistická území DLR a LLR na východní Ukrajině přijetím Minské mírové dohody souhlasila s opětovným začleněním do Ukrajiny, výměnou za implementaci změn ukrajinské ústavy, které umožní jejich autonomii.[6]"
Uruguay,Uruguayská východní republika,Jižní Amerika,Montevideo,Členský stát OSN,není,
Uzbekistán,Republika Uzbekistán,Asie,Taškent,Členský stát OSN,není,Uzbekistán obsahuje jeden autonomní region: Karakalpakstán
Vanuatu,Republika Vanuatu,Oceánie,Port Vila,Členský stát OSN,není,
Vatikán,Městský stát Vatikán,Evropa,Vatikán,Pozorovatelský stát OSN pod názvem „Svatý stolec“ člen specializovaných organizaci OSN a MAAE.,není,"Spravován Svatým stolcem, suverénní entitou udržující diplomatické vztahy se 180 státy. Vatikán je spravován úředníky jmenovanými papežem, který je biskupem římské diecéze a ex-officio také vládcem Vatikánu."
Venezuela,Bolívarovská republika Venezuela,Jižní Amerika,Caracas,Členský stát OSN,není,"Venezuela je federací 26 států, území hlavního města a federálních dependencí."
Vietnam,Vietnamská socialistická republika,Asie,Hanoj,Členský stát OSN,není,
Východní Timor,Demokratická republika Východní Timor,Asie,Dili,Členský stát OSN,není,
Zambie,Zambijská republika,Afrika,Lusaka,Členský stát OSN,není,
Zimbabwe,Zimbabwská republika,Afrika,Harare,Členský stát OSN,není,
